文件,SHA256,课程,应读文字,音标,文字依据,状态,问题编号,说明,base.en 转写,tiny.en 转写,时长毫秒,起音毫秒,人工听审,审核人,审核日期,人工结论
soundmark/audio/bat.mp3,b52f1db4724dcb9c85a6ffd2d8cc040b2d5d9961ebc6fcfa8784ba7bc0c9c404,soundmark,bat,,page-literal,优先人工听审,,涉及音素、漏词或名称的差别；识别结果只是线索，尚未人工判断录音对错。,that,But...,1776,200,待逐条人工听审,,,
soundmark/audio/bed.mp3,3eccbca6e328be2c18225dd03332b984a820dc310a97dbf5a0cb6d3901b33913,soundmark,bed,,page-literal,优先人工听审,,涉及音素、漏词或名称的差别；识别结果只是线索，尚未人工判断录音对错。,Bad,Bad.,1128,250,待逐条人工听审,,,
soundmark/audio/bird.mp3,2b09052a7cf700f09afc359b851a01def6d2b2c875ffd1c9e163153f2e827c37,soundmark,bird,,page-literal,优先人工听审,,涉及音素、漏词或名称的差别；识别结果只是线索，尚未人工判断录音对错。,But...,But...,1776,210,待逐条人工听审,,,
soundmark/audio/cooed.mp3,7942a4ca3d684fa7672ce831914f1e19fb582483098477a7ba2bfcf5fba62e19,soundmark,cooed,,page-literal,优先人工听审,,涉及音素、漏词或名称的差别；识别结果只是线索，尚未人工判断录音对错。,food,Good.,1776,260,待逐条人工听审,,,
soundmark/audio/dog.mp3,af2362fe155ff0b871505d4856239d498dd03031bb8e196895c9af0b6c5077d4,soundmark,dog,,page-literal,优先人工听审,,涉及音素、漏词或名称的差别；识别结果只是线索，尚未人工判断录音对错。,Doc.,Dog!,1104,210,待逐条人工听审,,,
soundmark/audio/ear.mp3,90fa64bd1bc4f4361e802f02f81aa419380d01c8d3776794c6a787b5137f7de2,soundmark,ear,,page-literal,优先人工听审,,涉及音素、漏词或名称的差别；识别结果只是线索，尚未人工判断录音对错。,E.,Yeah.,1776,220,待逐条人工听审,,,
soundmark/audio/fan.mp3,eb725d2f0a9406f9444d11097dbb081556b670c6b712d94d18d16672777f1581,soundmark,fan,,page-literal,优先人工听审,,涉及音素、漏词或名称的差别；识别结果只是线索，尚未人工判断录音对错。,fun,Fan.,1776,240,待逐条人工听审,,,
soundmark/audio/fee.mp3,f5e99703b73686c42e8fcc07eba60f849258329b0352dd723ccb110dafe3774a,soundmark,fee,,page-literal,优先人工听审,,涉及音素、漏词或名称的差别；识别结果只是线索，尚未人工判断录音对错。,See,fee,1776,220,待逐条人工听审,,,
soundmark/audio/goat.mp3,0010a618919825d5f7e26618ba8d72bf4244babcd6f2e6e6b6071a91897bfb65,soundmark,goat,,page-literal,优先人工听审,,涉及音素、漏词或名称的差别；识别结果只是线索，尚未人工判断录音对错。,Don't,Don't.,1776,240,待逐条人工听审,,,
soundmark/audio/had.mp3,3ff7fee815ed2e8156ab95bdde157559be632a9852ec3fe06fd4d823a83bd814,soundmark,had,,page-literal,优先人工听审,,涉及音素、漏词或名称的差别；识别结果只是线索，尚未人工判断录音对错。,Hat.,Hat.,1776,220,待逐条人工听审,,,
soundmark/audio/lid.mp3,cb13a6b845efcc343a229e1dcf12799d830453807a413bf225a162a03c51c408,soundmark,lid,,page-literal,优先人工听审,,涉及音素、漏词或名称的差别；识别结果只是线索，尚未人工判断录音对错。,Let,Lead.,1776,220,待逐条人工听审,,,
soundmark/audio/live.mp3,5bdff55f220ce75567088d3c3a78df2c90f419c8d9e5dababd77b4e5480b3d94,soundmark,live,,page-literal,优先人工听审,,涉及音素、漏词或名称的差别；识别结果只是线索，尚未人工判断录音对错。,life,Life.,1776,220,待逐条人工听审,,,
soundmark/audio/pear.mp3,262f3eedd7ffed4195a0fee608cfee4e5ad9bfda5d0ca4cd9f16666733f09add,soundmark,pear,,page-literal,优先人工听审,,涉及音素、漏词或名称的差别；识别结果只是线索，尚未人工判断录音对错。,PAH!,Paa!,1776,220,待逐条人工听审,,,
soundmark/audio/pull.mp3,004a5fbede34df7f5cd750f5eea72184dd822164ccd097db69a45dfc6f549a5b,soundmark,pull,,page-literal,优先人工听审,,涉及音素、漏词或名称的差别；识别结果只是线索，尚未人工判断录音对错。,pool,Pull.,1776,220,待逐条人工听审,,,
soundmark/audio/took.mp3,3ebfe46554f18feecc1d6496f4940a69a4052be7d826edb02548ee19ddf53d57,soundmark,took,,page-literal,优先人工听审,,涉及音素、漏词或名称的差别；识别结果只是线索，尚未人工判断录音对错。,Tuke.,Took.,1776,220,待逐条人工听审,,,
soundmark/audio/tour.mp3,60d0c6e88753cebe68d576f6af4add6e5b139a06b3ad57a10b1230185dc7788f,soundmark,tour,,page-literal,优先人工听审,,涉及音素、漏词或名称的差别；识别结果只是线索，尚未人工判断录音对错。,tool,Tool.,1776,260,待逐条人工听审,,,
unit1-2/audio/nce-u01-c-q-coat.mp3,df21029b3c8290d10d34a488f41a5315c607393956de9630db103d32c696d1f4,unit1-2,Is this your coat?,,audio-manifest,优先人工听审,,涉及音素、漏词或名称的差别；识别结果只是线索，尚未人工判断录音对错。,Is this your code?,Is this your code?,1514,100,待逐条人工听审,,,
unit11-12/audio/l11-d15.mp3,2cdc71d20d775b7248c937d2253651000bf8dc802205c1ba9b6177a0c7cc8d56,unit11-12,Catch!,,audio-manifest,优先人工听审,,涉及音素、漏词或名称的差别；识别结果只是线索，尚未人工判断录音对错。,Catch you.,Catch you!,874,70,待逐条人工听审,,,
unit11-12/audio/l12-b12.mp3,b5e873fa42e262c4e82711fb9337f75473a0c7e47f1d11550d9e9fd2db0c3232,unit11-12,Whose is this pencil? It's Hans's. It's his pencil.,,audio-manifest,优先人工听审,,涉及音素、漏词或名称的差别；识别结果只是线索，尚未人工判断录音对错。,"Who's is this pencil? It's hands is, it's his pencil.","Who's is this pencil? It hands is, it's his pencil.",3371,70,待逐条人工听审,,,
unit11-12/audio/l12-w08.mp3,839ef414d857405834b866db1bcdfe2f589385248771ede9d294acea98765c2f,unit11-12,her,/hɝː/,audio-manifest,优先人工听审,,涉及音素、漏词或名称的差别；识别结果只是线索，尚未人工判断录音对错。,HURT!,heard.,602,60,待逐条人工听审,,,
unit11-12/audio/written-a-00.mp3,67ffe2db4eb5decc027ca60ffddfe0f725dd658fee707b5214f0d9a90d62494f,unit11-12,Hans is here. That is his car.,,audio-manifest,优先人工听审,,涉及音素、漏词或名称的差别；识别结果只是线索，尚未人工判断录音对错。,"Hands is here, that is his car.","Hands is here, that is his car.",2106,70,待逐条人工听审,,,
unit3-4/audio/l04-p05.mp3,bc111e78c76d22d2bf3cec284fbee51c829a4c2073473bd5fd2dfa75c0c3988e,unit3-4,Is this your coat?,,audio-manifest,优先人工听审,,涉及音素、漏词或名称的差别；识别结果只是线索，尚未人工判断录音对错。,Is this your code?,Is this your code?,1300,70,待逐条人工听审,,,
unit5-6/audio/l05-d06.mp3,3959acfb387e5ad40eca949e4cc0c3038c49ef44b1d8871b489b238523767fc3,unit5-6,"Sophie, this is Hans.",,audio-manifest,优先人工听审,,涉及音素、漏词或名称的差别；识别结果只是线索，尚未人工判断录音对错。,"Sophie, this is hand.","Sophie, this is hands.",1575,70,待逐条人工听审,,,
unit5-6/audio/l05-d18.mp3,9fe773bd35ac4704fb16a68831d69d774d4002022e25bd5bab703b6cb710039d,unit5-6,And this is Xiaohui.,,audio-manifest,优先人工听审,,涉及音素、漏词或名称的差别；识别结果只是线索，尚未人工判断录音对错。,And this is Shao Wei.,and this is shall we?,1612,70,待逐条人工听审,,,
unit5-6/audio/l06-w08.mp3,f3f6971eccf41986f7acbaec9c4f2655112abf351c01dd1dd35427beb26b0e8d,unit5-6,Toyota,/tɔɪˈjoʊt̬ə/,audio-manifest,优先人工听审,,涉及音素、漏词或名称的差别；识别结果只是线索，尚未人工判断录音对错。,to Yoda.,to Yoda.,728,70,待逐条人工听审,,,
unit5-6/audio/reference-hans.mp3,86d01e439c79e46cba6ffb854728011f9c0c2d9ed48bea05bd7af5d3580adaab,unit5-6,Hans is a student. He isn't French. He is German.,,audio-manifest,优先人工听审,,涉及音素、漏词或名称的差别；识别结果只是线索，尚未人工判断录音对错。,"Hands is a student, he isn't French, he is German.","hands as a student, he isn't French, he is German.",3259,70,待逐条人工听审,,,
unit7-8/audio/l08-w01.mp3,6d94858e79570f3417003317c16341cbaae760430b49a7a11c4a6f3cb24a19f7,unit7-8,policeman,/pəˈliːsmən/,audio-manifest,优先人工听审,,涉及音素、漏词或名称的差别；识别结果只是线索，尚未人工判断录音对错。,Policemen. //,Polisman.,877,80,待逐条人工听审,,,
unit9-10/audio/l10-w04.mp3,b2f1d89f4bbc526d8bd4aab51b795bc696fd0aaca8c02e167586a528ffc71ad0,unit9-10,tall,/tɑːl/,audio-manifest,优先人工听审,,涉及音素、漏词或名称的差别；识别结果只是线索，尚未人工判断录音对错。,Tell.,Tal.,636,70,待逐条人工听审,,,
unit9-10/audio/written-a-05.mp3,0e40e327bce43dbb83a7d4076fc1ec05d9563ecaf7023b8582ce3638b16c5f4e,unit9-10,Naoko isn't Chinese. She's Japanese.,,audio-manifest,优先人工听审,,涉及音素、漏词或名称的差别；识别结果只是线索，尚未人工判断录音对错。,"Nokko isn't Chinese, she's Japanese.","Not co-isn't Chinese, she's Japanese.",2949,70,待逐条人工听审,,,
lesson49/audio/a_pound_of_mince.mp3,b9264387582590308c1981b3afdf71bc996d60d9f462d52ceff955ff384e0086,lesson49 / unit49-50,a pound of mince,,course-catalog,一般复核,,两模型结论不同，或涉及弱读、名称等；保留复核，不自动判错。,A pound of mints,A pound of mince.,1848,210,待逐条人工听审,,,
lesson49/audio/mince.mp3,8c5bfc60a9fe6e902b033e8d3daa821b5ca12c06616ba389cd526b377f1fc8cc,lesson49 / unit49-50,mince,/mɪns/,course-catalog,一般复核,,两模型结论不同，或涉及弱读、名称等；保留复核，不自动判错。,means,Mince.,1200,220,待逐条人工听审,,,
lesson50/audio/lettuce.mp3,b493d79eab2795b4e4f08f37aa43f12f6a9fac142ed66a50586396fa1fcbcf79,lesson50 / unit49-50,lettuce,/ˈletɪs/,page-literal,一般复核,,两模型结论不同，或涉及弱读、名称等；保留复核，不自动判错。,Let us,Let us...,1776,220,待逐条人工听审,,,
lesson50/audio/teaches.mp3,97160734bb443acfe9d61373ba351f572ec385c899617e64bbee54fad83513e1,lesson50,teaches,,page-literal,一般复核,,两模型结论不同，或涉及弱读、名称等；保留复核，不自动判错。,Teachers,teaches,1776,230,待逐条人工听审,,,
lesson51/audio/does_it_ever_snow_in_greece.mp3,f02cbf596c9f1f0003c10aea6b93d64477c1e5af3030c988dd3d0bd310020f9b,lesson51,Does it ever snow in Greece?,,page-literal,一般复核,,两模型结论不同，或涉及弱读、名称等；保留复核，不自动判错。,Does it have a snow in Greece?,Does it ever snow in Greece?,2280,190,待逐条人工听审,,,
lesson52/audio/he_s_greek.mp3,581ced7de68e383352b823368612e90ba52000a72355a9c625560e8327286fa5,lesson52,He's Greek.,,page-literal,一般复核,,两模型结论不同，或涉及弱读、名称等；保留复核，不自动判错。,His Greek.,He's Greek.,1776,270,待逐条人工听审,,,
lesson53/audio/the_weather_s_often_cold_in_the_north.mp3,f661bc5781ad5509e0f16f3a6ca9bcf5e4b5c4b3c1cfc92591e51e5c46ae4991,lesson53,The weather's often cold in the North.,,page-literal,一般复核,,两模型结论不同，或涉及弱读、名称等；保留复核，不自动判错。,The weather is often cold in the north.,The weather's often cold in the north.,2784,220,待逐条人工听审,,,
lesson53/audio/the_weather_s_often_cold_in_the_north_and_windy_in_the_east.mp3,de9b22236d4d345e9dea375547916f44d8efea5f9a917768956ceacc2312e006,lesson53,The weather's often cold in the North and windy in the East.,,page-literal,一般复核,,两模型结论不同，或涉及弱读、名称等；保留复核，不自动判错。,The weather is often cold in the north and windy in the east.,The weather's often cold in the north and windy in the east.,3960,210,待逐条人工听审,,,
lesson54/audio/does_jim_come_from_england.mp3,ab185b3fa69f3fb038219e9ad8951d53aeff576f54fa5f6552f28925146910b3,lesson54,does jim come from england,,filename-inferred,一般复核,,两模型结论不同，或涉及弱读、名称等；保留复核，不自动判错。,Does Zoom come from England?,Does Jim come from England?,2472,240,待逐条人工听审,,,
soundmark/audio/eye.mp3,f9c4b986289a2408804ac496af9002fcf7633ea0c9950b6b80036c99f239843a,soundmark,eye,,page-literal,一般复核,,两模型结论不同，或涉及弱读、名称等；保留复核，不自动判错。,I,Bye!,1776,220,待逐条人工听审,,,
soundmark/audio/would.mp3,44d87c4c0039601680d69838251a718932de42d0564236bb90037eef5a74dcdf,soundmark,would,,page-literal,一般复核,,两模型结论不同，或涉及弱读、名称等；保留复核，不自动判错。,Wood,What?,1776,230,待逐条人工听审,,,
unit11-12/audio/l11-w01.mp3,8a59e87b10171277fcf28baf7c42efc8b9b89d179ef69385ae3524d361912e7d,unit11-12,whose,/huːz/,audio-manifest,一般复核,,两模型结论不同，或涉及弱读、名称等；保留复核，不自动判错。,Who's?,Who is?,722,60,待逐条人工听审,,,
unit11-12/audio/l12-b04.mp3,716b065b91bbfd6009b052a8ce281ceda52595c5faacdddcbcabccaad2572882,unit11-12,Whose is this umbrella? It's Steven's. It's his umbrella.,,audio-manifest,一般复核,,两模型结论不同，或涉及弱读、名称等；保留复核，不自动判错。,Who's this umbrella? It's Stevens. It's his umbrella.,Who's is this umbrella? It's Stevens. It's his umbrella.,3782,70,待逐条人工听审,,,
unit11-12/audio/phrase-that.mp3,12639076423df129945e14c5fc7518d8f4b7269db04f6ab0763d21117fd6713a,unit11-12,Whose is that tie?,,audio-manifest,一般复核,,两模型结论不同，或涉及弱读、名称等；保留复核，不自动判错。,Who's that tie?,Who's is that tie?,1357,70,待逐条人工听审,,,
unit3-4/audio/l03-w10.mp3,7c5647dbda753d68fbf68c18fdbbe28cc8f39be43b099a4674fbf8d052c4cdca,unit3-4,cloakroom,/ˈkloʊkruːm/,audio-manifest,一般复核,,两模型结论不同，或涉及弱读、名称等；保留复核，不自动判错。,Cloacroom.,cloakroom.,782,70,待逐条人工听审,,,
unit5-6/audio/l05-d03.mp3,912628e916fcd7fc1a438265f64262b78ae742c02a1014407d7c49ffb1540294,unit5-6,This is Miss Sophie Dupont.,,audio-manifest,一般复核,,两模型结论不同，或涉及弱读、名称等；保留复核，不自动判错。,This is Ms. Sophie DuPont.,This is Miss Sophie DuPont.,1855,70,待逐条人工听审,,,
unit5-6/audio/l05-d07.mp3,d63a8ee31a72caf7a68ff352ea7473210d817af760e95c59bff00f8b28dc106f,unit5-6,He is German.,,audio-manifest,一般复核,,两模型结论不同，或涉及弱读、名称等；保留复核，不自动判错。,He is Jarman.,He is German.,1311,70,待逐条人工听审,,,
unit5-6/audio/l05-d15.mp3,ad7dee504f2e17f839e97390c87558f85432099d264844bed40ae8a302b10cde,unit5-6,And this is Luming.,,audio-manifest,一般复核,,两模型结论不同，或涉及弱读、名称等；保留复核，不自动判错。,And this is looming.,And this is looming.,1472,70,待逐条人工听审,,,
unit5-6/audio/l06-w02.mp3,006ac7d7d82c5dabf3dcbeef1d4f692eba2b8a049091a626e3a4da6a5b9419f1,unit5-6,Swedish,/ˈswiːdɪʃ/,audio-manifest,一般复核,,两模型结论不同，或涉及弱读、名称等；保留复核，不自动判错。,Sweetish.,Swedish.,806,70,待逐条人工听审,,,
unit5-6/audio/l06-w10.mp3,e3d17311e19e66e7c8d103a61ae9212c80dc0a721aa60a92d5095a226fac2cda,unit5-6,Mini,/ˈmɪni/,audio-manifest,一般复核,,两模型结论不同，或涉及弱读、名称等；保留复核，不自动判错。,Many.,Mini.,582,70,待逐条人工听审,,,
unit7-8/audio/l07-w02.mp3,d2ec17184632380443f5c51d7306f8f4b20e51520b972f8516b62e9b836fbae0,unit7-8,am,/æm/,audio-manifest,一般复核,,两模型结论不同，或涉及弱读、名称等；保留复核，不自动判错。,and,Am.,640,70,待逐条人工听审,,,
lesson49/audio/give_me_that_piece_please.mp3,5b388a2de2a49f607f01ef67b478278c3d596f78cb9889a5013d8e6504941130,lesson49 / unit49-50,"Give me that piece, please.",,course-catalog,可解释的转写差异,,piece / peace 同音；另一模型写回 piece。 不代表人工已通过。,"Give me that peace, please.","Give me that piece, please.",2520,200,待逐条人工听审,,,
lesson49/audio/lamb_please.mp3,9e59de0a32a410f9d54d6e152520e2a4545191a614ba25ada99976a5a4e4bd1f,lesson49 / unit49-50,"Lamb, please.",,course-catalog,可解释的转写差异,,lamb / Lam 的拼写识别差异；另一模型写回 lamb。 不代表人工已通过。,"Lam, please.","Lamb, please.",1896,210,待逐条人工听审,,,
lesson49/audio/meat.mp3,7481c1b0fe13a2b662886107fe175045f9f6499ec4d19ebe3d209850f2d3e6b8,lesson49 / unit49-50,meat,/miːt/,course-catalog,可解释的转写差异,,meat / meet 同音。 不代表人工已通过。,Meet,Meet.,1104,210,待逐条人工听审,,,
lesson49/audio/she_gets_up_at_six_in_the_morning.mp3,ed2cd5b1ebd333f9a83c4acb502e7d1bf9fd9b47e3516f2ba86c2a6f2533b820,lesson49,she gets up at six in the morning,,filename-inferred,可解释的转写差异,,数字 6 / six。 不代表人工已通过。,She gets up at 6 in the morning.,She gets up at 6 in the morning.,2640,210,待逐条人工听审,,,
lesson50/audio/i_don_t_go_to_school_at_seven_o_clock.mp3,d8d20a2b72eb4d640973ef32054e31acac2e7c544f4c5da88abd043c4f22658b,lesson50,I don't go to school at seven o'clock.,,page-literal,可解释的转写差异,,数字 7 / seven。 不代表人工已通过。,I don't go to school at 7 o'clock.,I don't go to school at seven o'clock.,3096,210,待逐条人工听审,,,
lesson50/audio/i_go_to_school_at_seven_o_clock.mp3,400aa75dab4b3abba930015d38e48a3c0ac0514c2baaeedec62651f4954663e7,lesson50,I go to school at seven o'clock.,,page-literal,可解释的转写差异,,数字 7 / seven。 不代表人工已通过。,I go to school at 7 o'clock.,I go to school at 7 o'clock.,2832,210,待逐条人工听审,,,
lesson50/audio/pea.mp3,d40bba69c4c7dd871a4fc85206ba6bb26594ba6d68387bbaa11dbde100221bd8,lesson50 / unit49-50,pea,/piː/,page-literal,可解释的转写差异,,pea / 字母 P 同音。 不代表人工已通过。,P,P.,1776,210,待逐条人工听审,,,
lesson50/audio/ten_and_ten_is_twenty.mp3,35b42968fd2d8570a3dffb4566928c8dbcefb0e27e6a21805f791f8aa093c063,lesson50,Ten and ten is twenty.,,page-literal,可解释的转写差异,,数字与英文数词写法不同。 不代表人工已通过。,10 and 10 is 20,10 and 10 is 20.,2352,240,待逐条人工听审,,,
lesson53/audio/it_s_our_favourite_subject_of_conversation.mp3,f62d5289288222859640c4c0b45ecd7a4b7cfcdcfe1eeb463e0f933a453beae7,lesson53,It's our favourite subject of conversation.,,page-literal,可解释的转写差异,,favourite / favorite 为英美拼写差异。 不代表人工已通过。,It's our favorite subject of conversation.,It's our favorite subject of conversation.,3456,200,待逐条人工听审,,,
lesson53/audio/what_is_the_favourite_subject_of_conversation_in_england.mp3,3339b1dd852ace4fc4f1c938cbbfa99dbab76c178ca54710c3535519065102b6,lesson53,What is the favourite subject of conversation in England?,,page-literal,可解释的转写差异,,favourite / favorite 为英美拼写差异。 不代表人工已通过。,What is the favorite subject of conversation in England?,What is the favourite subject of conversation in England?,3864,250,待逐条人工听审,,,
